"Code","Message"
4148,"Settlement Account does not have sufficient amount of pledged funds."
4149,"Settlement Account does not have sufficient amount of funds."
4150,"Unable to balance risk using specified futures instrument."
4151,"Specified FX Market Firm code not found."
4152,"Specified FX Market Settlement Account not found."
4153,"Specified FX Market financial instrument not found."
4154,"Unable to add request for FX Market: the required parameters are not registered in the system."
4155,"Required Administrator login for adding a risk balancing request is not registered in the system."
4160,"Funds transfer between settlement accounts is prohibited. Settlement account is included in the Unified Collateral Pool."
4161,"Withdrawal is prohibited. Settlement account is included in the Unified Collateral Pool."
4162,"Unable to perform operation. The Brokerage Firms must be of the same Settlement account."
4163,"Unable to perform operation. To transfer funds for Brokerage Firm with virtual limit, you are required to apply to NCC."
4164,"Unable to perform operation. It is prohibited to change settings for client accounts."
4165,"Unable to perform operation. Only Clearing Firm logins are able to perform the operation."
4166,"Incorrect combination of flag values."
4167,"Settlement Account not found."
4168,"Unable to transfer assets between Brokerage Firms of different settlement accounts outside of the main trading session."
4169,"Cannot perform operation: the operation is available for Clearing Firm/Brokerage Firm login only."
4170,"Cannot perform operation: incorrect Brokerage Firm account."
4171,"Cannot perform operation: incorrect client account."
4172,"Cannot perform operation: insufficient rights for the Clearing Member."
4173,"Cannot perform operation: insufficient rights for the Trading Member."
4174,"GTD multileg order is canceled by trading system."
4175,"The Clearing Member has the option to take into funds only on the Settlement Account."
4200,"Cannot confirm request. Trading participant's MASTER login is not connected."
4201,"Cannot confirm request. Price value in request exceeded the current price value."
4202,"Cannot confirm request. Maximum number of contracts exceeded in request."
4203,"Cannot confirm request. Negotiated mode is not allowed."
4204,"Cannot confirm request. Maximum volume in Russian Ruble exceeded in request."
4205,"Cannot confirm request. Amount in Russian Ruble exceeded total available amount in requests per trading day."
4206,"Cannot confirm request. Number of buy orders exceeded maximum available number in position."
4207,"Cannot confirm request. Number of sell orders exceeded maximum available number in position."
4208,"Cannot confirm request. Total quantity of simultaneous restrictions on position size for different clearing register exceeded for given SMA login."
4209,"Cannot confirm request."
4210,"Cannot confirm request."
4211,"Cannot confirm request."
4212,"Cannot confirm request."
4213,"Cannot confirm request."
4214,"Cannot confirm request."
4215,"Cannot confirm request."
4216,"Cannot confirm request."
4217,"Cannot confirm request."
4218,"Cannot confirm request."
4219,"Cannot confirm request."
4220,"Trading operations for user are prohibited."
4221,"Unable to perform operation: Clearing Member and Trading Member represent the same entity."
4222,"Unable to perform operation with orders: insufficient rights for Clearing Member."
4223,"Unable to send request to NCC: insufficient rights for Trading Member."
4224,"Unable to perform operation: insufficient rights for active MASTER logins."
4225,"Clearing member is under liquidation netting process, all operations are prohibited."
4226,"Reserve error code. The text will be updated later."
4227,"Reserve error code. The text will be updated later."
4228,"Reserve error code. The text will be updated later."
4229,"Reserve error code. The text will be updated later."
4230,"Orders will not be cancelled: collateral requirements are met for the Brokerage Firm."
4231,"Reserve error code. The text will be updated later."
4232,"Reserve error code. The text will be updated later."
4233,"Reserve error code. The text will be updated later."
4234,"Reserve error code. The text will be updated later."
4235,"Reserve error code. The text will be updated later."
4236,"Reserve error code. The text will be updated later."
4237,"Reserve error code. The text will be updated later."
4238,"Reserve error code. The text will be updated later."
4239,"Reserve error code. The text will be updated later."
4240,"Reserve error code. The text will be updated later."
4250,"Incorrect instrument chain for synthetic matching configuration."
4251,"Login specified for NCC synthetic orders not found in 'User' table."
4252,"Reserve error code. The text will be updated later."
4253,"Reserve error code. The text will be updated later."
4254,"Reserve error code. The text will be updated later."
4255,"Reserve error code. The text will be updated later."
4256,"Reserve error code. The text will be updated later."
4257,"Reserve error code. The text will be updated later."
4258,"Negotiated iceberg orders are prohibited."
4259,"Change of only a single iceberg order is possible."
4260,"The iceberg visible part size is less than the minimum acceptable value."
4261,"The iceberg visible part size is more than the iceberg order volume."
4262,"The random addition size is more than the maximum acceptable value."
4263,"Reserve error code. The text will be updated later."
4264,"The random addition size is less than zero."
4265,"An incorrect parameters combination for the operator input mode for Settlement Account."
4266,"Trading system administrator lock mode is set for Settlement Account."
4267,"Underlying asset code is out of range."
4268,"Iceberg order can be changed only at the price."
4269,"Expiration order date cannot be indicated in the negotiated order."
9999,"Too many transactions sent from this login."
10000,"System level error while processing message."
10001,"Undefined message type."
10004,"Invalid message type."
10005,"MQ address is too large."
10006,"Error parsing message."
11123,"Deal accepted"
11124,"Deal accepted & matched"
11125,"Deal accepted (unvalidated)"
11129,"Invalid security id"
11130,"Negotiated deals not accepted for indices"
11131,"Security is not trading yet"
11132,"Security is in break period"
11133,"Security is not currently trading"
11134,"Trading in security is finished"
11135,"Security is not trading today"
11136,"Security is suspended"
11138,"Instrument is suspended"
11139,"Board is suspended"
11140,"Invalid buy or sell indicator"
11141,"Invalid counterparty firm"
11143,"Invalid price"
11144,"Invalid quantity"
11145,"Invalid trading account"
11146,"Trading account is suspended"
11147,"Trading account's depository account is suspended"
11149,"Account has insufficient balance to sell"
11155,"Invalid deal number"
11156,"Deal is currently unmatched"
11157,"Deal is already validated"
11158,"Deal is currently in an unknown state"
11159,"Invalid order method for this security and board"
11160,"Buy order accepted"
11161,"Sell order accepted"
11162,"Buy order accepted"
11163,"Sell order accepted"
11164,"Order quantity is incorrect"
11165,"Buy order accepted (open period)"
11166,"Sell order accepted (open period)"
11167,"Minimum price step is set"
11168,"Lot size is set"
11169,"Buy order accepted (unvalidated)"
11170,"Sell order accepted (unvalidated)"
11171,"Invalid market order value"
11172,"Orders not accepted for indices"
11173,"Invalid order type"
11174,"Invalid price split flag"
11175,"Invalid fill flag"
11176,"A market order must allow price splits"
11177,"Market orders not accepted during security's open period"
11178,"Single price orders not accepted during security's open period"
11179,"Immediate orders not accepted during security's open period"
11180,"Price may not be 0 for a limit order"
11181,"Immediate option not allowed for a market order that will stay in order book"
11182,"Price is out of range"
11187,"Unable to match order"
11193,"Invalid order number"
11194,"You may not specify an order number and a user"
11197,"You do not have access to this function"
11198,"Trading System unavailable"
11199,"Trading System is suspended"
11201,"Unable to service request"
11202,"You do not have access to the Trading System"
11210,"Order withdrawn"
11211,"Deal withdrawn"
11213,"Invalid price operator"
11218,"Invalid firm code"
11219,"No orders withdrawn, rejection(s)"
11222,"No negotiated deals to withdraw"
11230,"Order value is incorrect"
11231,"Only main board orders may be entered during primary auction"
11234,"Order may not have immediate flag in primary auction"
11235,"Only issuer agent may enter primary auction sell order"
11239,"Sell order may not be a single price order in primary auction"
11240,"Sell order should have zero quantity in primary auction"
11241,"Auction bidding period is finished for security"
11242,"Price must be 0 for market orders in primary auction"
11243,"Market orders percentage limit will be breached"
11244,"Firm cash limit will be breached for this instrument"
11245,"Firm total cash limit will be breached"
11246,"Buy order accepted"
11247,"Sell order accepted"
